Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 42.74
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 93.84
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 95.74000000000001
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 96.56
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 1, acc : 93.8
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 2, acc : 96.64
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.16
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.54
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 2, acc : 97.61999999999999
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.06
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.76
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 97.39999999999999
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.44
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.86
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 97.42
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.76
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.78
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 2, acc : 96.41999999999999
Parameter C : 0.31622776601683794, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.44
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.8
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 2, acc : 97.98
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.7
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.88
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.06
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.6
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.8
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 97.94
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.94
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.88
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 100.0, Parameter degree : 2, acc : 97.26
Parameter C : 0.31622776601683794, Parameter gamma : 0.31622776601683794, Parameter coef0 : 100.0, Parameter degree : 3, acc : 97.28
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.24000000000001
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.001, Parameter degree : 2, acc : 97.96000000000001
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.7
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.24000000000001
Parameter C : 0.31622776601683794, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.16
